date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2023-02-13,0%,4%,neutral,100%,-2.4533961859867217%,14291.13225973183,158.12782216047245
2023-02-14,0%,4%,neutral,100%,5.238879736408562%,14296.997495341977,166.4119485932616
2023-02-15,0%,4%,neutral,100%,7.30536422458777%,14305.604759340094,178.56894755123312
2023-02-16,0%,4%,neutral,100%,-4.152888543085%,14300.354328301242,171.1531781868705
2023-02-17,-2%,4%,bear,50%,1.5930999492643403%,14302.284814655106,173.87981938172982
2023-02-20,0%,4%,neutral,100%,-4.214942069516579%,14299.690339364244,166.55088572420985
2023-02-21,-2%,4%,bear,50%,-2.189781021897819%,14298.399249764527,162.9037860368184
2023-02-22,-2%,4%,bear,50%,1.5778251599147166%,14298.854205147283,165.47412295936095
2023-02-23,0%,4%,neutral,100%,-0.7241813602015089%,14298.748151358735,164.27579020493235
2023-02-24,0%,4%,neutral,100%,-3.21387038799028%,14298.280899884552,158.996179228899
2023-02-27,0%,4%,neutral,100%,2.7525942108137587%,14298.668226764468,163.37269885376872
2023-02-28,0%,4%,neutral,100%,-0.28702030402891043%,14298.626727455905,162.90378603681842
2023-03-01,-2%,4%,bear,50%,4.243070362473352%,14299.238458004342,169.81590830149366
2023-03-02,0%,4%,neutral,100%,-2.4442626303947645%,14299.054785138667,165.66516151441482
2023-03-03,0%,4%,neutral,100%,-5.06342383897683%,14298.683596878749,157.27683223341447
2023-03-06,-2%,4%,bear,50%,-3.5335689045936425%,14298.43767505023,151.7193469954846
2023-03-07,-2%,4%,bear,50%,-1.224816849816842%,14298.396559994524,149.86106286905184
2023-03-08,-2%,4%,bear,50%,-4.090856414416503%,14298.328739365254,143.73046196596047
2023-03-09,0%,4%,neutral,100%,-7.346544224262927%,14298.27033293098,133.17124001389377
2023-03-10,-2%,4%,bear,50%,-6.924882629107984%,14298.219323364207,123.94928794720393
2023-03-13,2%,4%,bull,100%,14.137592826117402%,14298.267787255803,141.47273358805143
2023-03-14,2%,4%,bull,100%,3.044438988460599%,14733.569826445522,145.77978464744706
2023-03-15,2%,4%,bull,100%,-8.946866809625913%,13415.37695777021,132.7370614796805
2023-03-16,2%,4%,bull,100%,3.179379824676164%,13841.902746169812,136.95727683223345
2023-03-17,-2%,4%,bear,50%,8.432665483134675%,15009.144101255144,148.5064258423064
2023-03-20,0%,4%,neutral,100%,-8.724125833235888%,14354.435792312543,135.55053838138247
2023-03-21,0%,4%,neutral,100%,5.6758488148622765%,14743.223702314652,143.2441820076416
2023-03-22,0%,4%,neutral,100%,5.807468477206585%,15163.606115161172,151.56304272316783
2023-03-23,0%,4%,neutral,100%,7.264810358657045%,15720.020415254481,162.57381035081633
