date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2019-08-16,2%,4%,bull,100%,4.949121315192739%,4780.212425118297,7405.21
2019-08-19,0%,4%,neutral,100%,-8.225425072347702%,4387.019633791136,6796.1
2019-08-20,-2%,4%,bear,100%,-0.3728609055193455%,4370.662152659271,6770.76
2019-08-21,0%,4%,neutral,100%,-2.501491708464043%,4370.662152659271,6601.39
2019-08-22,0%,4%,neutral,100%,2.74684574006383%,4370.662152659271,6782.72
2019-08-23,0%,4%,neutral,100%,0.9019980184940435%,4370.662152659271,6843.9
2019-08-26,0%,4%,neutral,100%,1.6056634375136936%,4370.662152659271,6953.79
2019-08-27,0%,4%,neutral,100%,13.937866976138192%,4370.662152659271,7923.0
2019-08-28,0%,4%,neutral,100%,-0.5754133535277095%,4370.662152659271,7877.41
2019-08-29,0%,4%,neutral,100%,2.3803509021366187%,4370.662152659271,8064.92
2019-08-30,2%,4%,bull,100%,-2.2306482891336743%,4370.662152659271,7885.02
2019-09-02,0%,4%,neutral,100%,3.652241845930626%,4530.289304742945,8173.0
2019-09-03,0%,4%,neutral,100%,1.2847179738162184%,4588.490745706852,8278.0
2019-09-04,0%,4%,neutral,100%,6.994201497946362%,4909.4190341762105,8856.98
2019-09-05,0%,4%,neutral,100%,0.8697095398205734%,4952.116719866209,8934.01
2019-09-06,0%,4%,neutral,100%,7.678298994516464%,5332.355048174977,9619.99
2019-09-09,0%,4%,neutral,100%,-7.7962659004843005%,4916.630469861358,8869.99
2019-09-10,0%,4%,neutral,100%,4.464604807897188%,5136.138590205326,9266.0
2019-09-11,0%,4%,neutral,100%,-3.784265055039926%,4941.7734923577655,8915.35
2019-09-12,0%,4%,neutral,100%,3.7088841155983765%,5125.058144444674,9246.01
2019-09-13,0%,4%,neutral,100%,-1.8876250404228467%,5028.316263573905,9071.48
2019-09-16,0%,4%,neutral,100%,1.944114962497867%,5126.072512415759,9247.84
2019-09-17,0%,4%,neutral,100%,5.430024740912476%,5404.419518077048,9750.0
2019-09-18,0%,4%,neutral,100%,-0.3693333333333326%,5384.459195323617,9713.99
2019-09-19,0%,4%,neutral,100%,-3.5926534822457112%,5191.014234542724,9365.0
2019-09-20,0%,4%,neutral,100%,-1.8947143619861273%,5092.6593423080985,9187.56
2019-09-23,-2%,4%,bear,100%,1.3326715689475854%,5160.527765466392,9310.0
2019-09-24,0%,4%,neutral,100%,-3.306122448979587%,5160.527765466392,9002.2
2019-09-25,0%,4%,neutral,100%,-6.689475905889674%,5160.527765466392,8400.0
2019-09-26,0%,4%,neutral,100%,3.134999999999999%,5160.527765466392,8663.34
2019-09-27,0%,4%,neutral,100%,-2.324045922242457%,5160.527765466392,8462.0
2019-09-30,0%,4%,neutral,100%,-1.5599149137319746%,5160.527765466392,8330.0
2019-10-01,0%,4%,neutral,100%,-3.463865546218492%,5160.527765466392,8041.46
2019-10-02,0%,4%,neutral,100%,2.4665918875428128%,5160.527765466392,8239.81
2019-10-03,0%,4%,neutral,100%,1.7164230728621277%,5160.527765466392,8381.24
2019-10-04,0%,4%,neutral,100%,-4.821840205029327%,5160.527765466392,7977.11
2019-10-07,0%,4%,neutral,100%,-5.956543159114014%,5160.527765466392,7501.95
2019-10-08,0%,4%,neutral,100%,0.9738801245009698%,5160.527765466392,7575.01
2019-10-09,0%,4%,neutral,100%,-1.557885732164055%,5160.527765466392,7457.0
2019-10-10,0%,4%,neutral,100%,-4.800858253989537%,5160.527765466392,7099.0
2019-10-11,0%,4%,neutral,100%,5.103394844344278%,5160.527765466392,7461.29
2019-10-14,0%,4%,neutral,100%,-1.1436360200447915%,5160.527765466392,7375.96
2019-10-15,0%,4%,neutral,100%,1.4784516185011976%,5160.527765466392,7485.01
2019-10-16,0%,4%,neutral,100%,0.48096128128085613%,5160.527765466392,7521.01
2019-10-17,0%,4%,neutral,100%,-0.4521999040022595%,5160.527765466392,7487.0
2019-10-18,0%,4%,neutral,100%,1.8431948711099322%,5160.527765466392,7625.0
2019-10-21,0%,4%,neutral,100%,0.4438032786885371%,5160.527765466392,7658.84
2019-10-22,0%,4%,neutral,100%,0.4209514756803978%,5160.527765466392,7691.08
2019-10-23,0%,4%,neutral,100%,-1.139501864497583%,5160.527765466392,7603.44
2019-10-24,2%,4%,bull,100%,-9.619856275580519%,5160.527765466392,6872.0
